t,MV,PV,DV
0.000000000000000000e+00,5.000000000000000000e+01,2.896000000000000085e+01,5.000000000000000000e+01
1.000000000000000000e+00,5.000000000000002842e+01,2.896000000000000085e+01,5.000000000000000000e+01
2.000000000000000000e+00,5.000000000000000000e+01,2.896000000000000085e+01,5.000000000000000000e+01
3.000000000000000000e+00,5.000000000000000000e+01,2.896000000000000085e+01,5.000000000000000000e+01
4.000000000000000000e+00,4.999999999999998579e+01,2.896000000000000085e+01,5.000000000000000000e+01
5.000000000000000000e+00,5.000000000000000000e+01,2.898999999999999844e+01,5.000000000000000000e+01
6.000000000000000000e+00,5.000000000000001421e+01,2.896000000000000085e+01,5.000000000000000000e+01
7.000000000000000000e+00,5.000000000000000000e+01,2.896000000000000085e+01,5.000000000000000000e+01
8.000000000000000000e+00,5.000000000000001421e+01,2.896000000000000085e+01,5.000000000000000000e+01
9.000000000000000000e+00,5.000000000000000711e+01,2.896000000000000085e+01,5.000000000000000000e+01
1.000000000000000000e+01,5.000000000000000000e+01,2.896000000000000085e+01,5.000000000000000000e+01
1.100000000000000000e+01,5.000000000000000711e+01,2.896000000000000085e+01,5.000000000000000000e+01
1.200000000000000000e+01,5.000000000000000711e+01,2.896000000000000085e+01,5.000000000000000000e+01
1.300000000000000000e+01,4.999999999999999289e+01,2.898999999999999844e+01,5.000000000000000000e+01
1.400000000000000000e+01,4.999999999999999289e+01,2.898999999999999844e+01,5.000000000000000000e+01
1.500000000000000000e+01,4.999999999999998579e+01,2.905000000000000071e+01,5.000000000000000000e+01
1.600000000000000000e+01,5.000000000000000000e+01,2.912000000000000099e+01,5.000000000000000000e+01
1.700000000000000000e+01,5.000000000000000711e+01,2.901999999999999957e+01,5.000000000000000000e+01
1.800000000000000000e+01,5.000000000000001421e+01,2.914999999999999858e+01,5.000000000000000000e+01
1.900000000000000000e+01,5.000000000000000000e+01,2.914999999999999858e+01,5.000000000000000000e+01
2.000000000000000000e+01,5.000000000000001421e+01,2.925000000000000000e+01,5.000000000000000000e+01
2.100000000000000000e+01,5.000000000000000000e+01,2.928000000000000114e+01,5.000000000000000000e+01
2.200000000000000000e+01,4.999999999999998579e+01,2.928000000000000114e+01,5.000000000000000000e+01
