t,MV,PV,DV
0.000000000000000000e+00,5.000000000000000000e+01,2.508999999999999986e+01,5.000000000000000000e+01
1.000000000000000000e+00,4.999999999999997158e+01,2.508999999999999986e+01,5.000000000000000000e+01
2.000000000000000000e+00,5.000000000000000000e+01,2.508999999999999986e+01,5.000000000000000000e+01
3.000000000000000000e+00,4.999999999999997158e+01,2.508999999999999986e+01,5.000000000000000000e+01
4.000000000000000000e+00,5.000000000000001421e+01,2.508999999999999986e+01,5.000000000000000000e+01
5.000000000000000000e+00,5.000000000000000000e+01,2.508999999999999986e+01,5.000000000000000000e+01
6.000000000000000000e+00,5.000000000000001421e+01,2.508999999999999986e+01,5.000000000000000000e+01
7.000000000000000000e+00,4.999999999999998579e+01,2.508999999999999986e+01,5.000000000000000000e+01
8.000000000000000000e+00,4.999999999999998579e+01,2.508999999999999986e+01,5.000000000000000000e+01
9.000000000000000000e+00,5.000000000000001421e+01,2.508999999999999986e+01,5.000000000000000000e+01
1.000000000000000000e+01,4.999999999999998579e+01,2.512000000000000099e+01,5.000000000000000000e+01
1.100000000000000000e+01,5.000000000000000711e+01,2.517999999999999972e+01,5.000000000000000000e+01
1.200000000000000000e+01,5.000000000000001421e+01,2.514999999999999858e+01,5.000000000000000000e+01
1.300000000000000000e+01,4.999999999999999289e+01,2.517999999999999972e+01,5.000000000000000000e+01
1.400000000000000000e+01,5.000000000000001421e+01,2.525000000000000000e+01,5.000000000000000000e+01
1.500000000000000000e+01,4.999999999999999289e+01,2.537999999999999901e+01,5.000000000000000000e+01
1.600000000000000000e+01,4.999999999999999289e+01,2.541000000000000014e+01,5.000000000000000000e+01
1.700000000000000000e+01,5.000000000000001421e+01,2.541000000000000014e+01,5.000000000000000000e+01
1.800000000000000000e+01,5.000000000000000000e+01,2.541000000000000014e+01,5.000000000000000000e+01
1.900000000000000000e+01,5.000000000000000000e+01,2.551000000000000156e+01,5.000000000000000000e+01
2.000000000000000000e+01,5.000000000000000711e+01,2.553999999999999915e+01,5.000000000000000000e+01
2.100000000000000000e+01,5.000000000000000000e+01,2.564000000000000057e+01,5.000000000000000000e+01
2.200000000000000000e+01,4.999999999999999289e+01,2.573000000000000043e+01,5.000000000000000000e+01
2.300000000000000000e+01,5.000000000000000000e+01,2.573000000000000043e+01,5.000000000000000000e+01
2.400000000000000000e+01,5.000000000000000711e+01,2.573000000000000043e+01,5.000000000000000000e+01
2.500000000000000000e+01,5.000000000000000711e+01,2.592999999999999972e+01,5.000000000000000000e+01
2.600000000000000000e+01,5.000000000000000000e+01,2.598999999999999844e+01,5.000000000000000000e+01
2.700000000000000000e+01,5.000000000000000000e+01,2.601999999999999957e+01,5.000000000000000000e+01
2.800000000000000000e+01,5.000000000000000711e+01,2.605000000000000071e+01,5.000000000000000000e+01
2.900000000000000000e+01,5.000000000000001421e+01,2.612000000000000099e+01,5.000000000000000000e+01
3.000000000000000000e+01,4.999999999999998579e+01,2.612000000000000099e+01,5.000000000000000000e+01
3.100000000000000000e+01,5.000000000000000000e+01,2.637999999999999901e+01,5.000000000000000000e+01
3.200000000000000000e+01,5.000000000000000000e+01,2.637999999999999901e+01,5.000000000000000000e+01
3.300000000000000000e+01,4.999999999999999289e+01,2.644000000000000128e+01,5.000000000000000000e+01
3.400000000000000000e+01,5.000000000000000000e+01,2.644000000000000128e+01,5.000000000000000000e+01
3.500000000000000000e+01,4.999999999999999289e+01,2.669999999999999929e+01,5.000000000000000000e+01
3.600000000000000000e+01,5.000000000000000000e+01,2.669999999999999929e+01,5.000000000000000000e+01
3.700000000000000000e+01,5.000000000000000000e+01,2.676000000000000156e+01,5.000000000000000000e+01
3.800000000000000000e+01,4.999999999999999289e+01,2.676000000000000156e+01,5.000000000000000000e+01
3.900000000000000000e+01,5.000000000000000711e+01,2.701999999999999957e+01,5.000000000000000000e+01
4.000000000000000000e+01,4.999999999999998579e+01,2.701999999999999957e+01,5.000000000000000000e+01
4.100000000000000000e+01,4.999999999999999289e+01,2.701999999999999957e+01,5.000000000000000000e+01
4.200000000000000000e+01,4.999999999999998579e+01,2.728000000000000114e+01,5.000000000000000000e+01
4.300000000000000000e+01,5.000000000000000711e+01,2.733999999999999986e+01,5.000000000000000000e+01
4.400000000000000000e+01,5.000000000000001421e+01,2.733999999999999986e+01,5.000000000000000000e+01
4.500000000000000000e+01,5.000000000000000000e+01,2.741000000000000014e+01,5.000000000000000000e+01
4.600000000000000000e+01,4.999999999999999289e+01,2.762999999999999901e+01,5.000000000000000000e+01
4.700000000000000000e+01,5.000000000000000711e+01,2.767000000000000171e+01,5.000000000000000000e+01
4.800000000000000000e+01,5.000000000000000000e+01,2.776000000000000156e+01,5.000000000000000000e+01
4.900000000000000000e+01,5.000000000000000711e+01,2.792000000000000171e+01,5.000000000000000000e+01
5.000000000000000000e+01,5.000000000000000000e+01,2.798999999999999844e+01,5.000000000000000000e+01
5.100000000000000000e+01,5.000000000000000000e+01,2.801999999999999957e+01,5.000000000000000000e+01
5.200000000000000000e+01,4.999999999999999289e+01,2.801999999999999957e+01,5.000000000000000000e+01
5.300000000000000000e+01,5.000000000000000000e+01,2.830999999999999872e+01,5.000000000000000000e+01
5.400000000000000000e+01,5.000000000000000000e+01,2.830999999999999872e+01,5.000000000000000000e+01
5.500000000000000000e+01,5.000000000000000711e+01,2.844000000000000128e+01,5.000000000000000000e+01
5.600000000000000000e+01,5.000000000000000000e+01,2.860000000000000142e+01,5.000000000000000000e+01
5.700000000000000000e+01,4.999999999999999289e+01,2.862999999999999901e+01,5.000000000000000000e+01
5.800000000000000000e+01,5.000000000000000711e+01,2.862999999999999901e+01,5.000000000000000000e+01
5.900000000000000000e+01,5.000000000000000000e+01,2.885999999999999943e+01,5.000000000000000000e+01
6.000000000000000000e+01,5.000000000000000000e+01,2.896000000000000085e+01,5.000000000000000000e+01
6.100000000000000000e+01,5.000000000000000000e+01,2.896000000000000085e+01,5.000000000000000000e+01
6.200000000000000000e+01,4.999999999999999289e+01,2.898999999999999844e+01,5.000000000000000000e+01
6.300000000000000000e+01,5.000000000000000711e+01,2.928000000000000114e+01,5.000000000000000000e+01
6.400000000000000000e+01,5.000000000000000711e+01,2.928000000000000114e+01,5.000000000000000000e+01
6.500000000000000000e+01,5.000000000000000000e+01,2.937000000000000099e+01,5.000000000000000000e+01
6.600000000000000000e+01,4.999999999999999289e+01,2.957000000000000028e+01,5.000000000000000000e+01
6.700000000000000000e+01,5.000000000000000000e+01,2.960000000000000142e+01,5.000000000000000000e+01
6.800000000000000000e+01,5.000000000000000000e+01,2.966000000000000014e+01,5.000000000000000000e+01
6.900000000000000000e+01,5.000000000000000000e+01,2.976000000000000156e+01,5.000000000000000000e+01
7.000000000000000000e+01,4.999999999999999289e+01,2.992000000000000171e+01,5.000000000000000000e+01
7.100000000000000000e+01,5.000000000000000000e+01,2.992000000000000171e+01,5.000000000000000000e+01
7.200000000000000000e+01,5.000000000000000000e+01,3.001999999999999957e+01,5.000000000000000000e+01
7.300000000000000000e+01,5.000000000000000000e+01,3.023999999999999844e+01,5.000000000000000000e+01
7.400000000000000000e+01,4.999999999999999289e+01,3.023999999999999844e+01,5.000000000000000000e+01
7.500000000000000000e+01,4.999999999999999289e+01,3.028000000000000114e+01,5.000000000000000000e+01
7.600000000000000000e+01,5.000000000000000000e+01,3.050000000000000000e+01,5.000000000000000000e+01
7.700000000000000000e+01,5.000000000000000711e+01,3.060000000000000142e+01,5.000000000000000000e+01
7.800000000000000000e+01,5.000000000000000000e+01,3.057000000000000028e+01,5.000000000000000000e+01
