t,MV,PV,DV
0.000000000000000000e+00,5.000000000000000000e+01,2.332000000000000028e+01,5.000000000000000000e+01
1.000000000000000000e+00,5.000000000000000000e+01,2.344000000000000128e+01,5.000000000000000000e+01
2.000000000000000000e+00,5.000000000000002842e+01,2.344000000000000128e+01,5.000000000000000000e+01
3.000000000000000000e+00,4.999999999999997158e+01,2.344000000000000128e+01,5.000000000000000000e+01
4.000000000000000000e+00,5.000000000000000000e+01,2.344000000000000128e+01,5.000000000000000000e+01
5.000000000000000000e+00,4.999999999999998579e+01,2.348000000000000043e+01,5.000000000000000000e+01
6.000000000000000000e+00,5.000000000000000000e+01,2.348000000000000043e+01,5.000000000000000000e+01
7.000000000000000000e+00,5.000000000000001421e+01,2.348000000000000043e+01,5.000000000000000000e+01
8.000000000000000000e+00,5.000000000000001421e+01,2.348000000000000043e+01,5.000000000000000000e+01
9.000000000000000000e+00,5.000000000000000711e+01,2.348000000000000043e+01,5.000000000000000000e+01
1.000000000000000000e+01,4.999999999999999289e+01,2.348000000000000043e+01,5.000000000000000000e+01
1.100000000000000000e+01,4.999999999999999289e+01,2.348000000000000043e+01,5.000000000000000000e+01
1.200000000000000000e+01,5.000000000000000000e+01,2.348000000000000043e+01,5.000000000000000000e+01
1.300000000000000000e+01,5.000000000000001421e+01,2.353999999999999915e+01,5.000000000000000000e+01
1.400000000000000000e+01,5.000000000000000000e+01,2.364000000000000057e+01,5.000000000000000000e+01
1.500000000000000000e+01,4.999999999999998579e+01,2.367000000000000171e+01,5.000000000000000000e+01
1.600000000000000000e+01,5.000000000000000000e+01,2.376999999999999957e+01,5.000000000000000000e+01
1.700000000000000000e+01,5.000000000000000000e+01,2.380000000000000071e+01,5.000000000000000000e+01
1.800000000000000000e+01,5.000000000000000000e+01,2.382999999999999829e+01,5.000000000000000000e+01
1.900000000000000000e+01,5.000000000000000711e+01,2.382999999999999829e+01,5.000000000000000000e+01
