t,MV,PV,DV
0.000000000000000000e+00,5.000000000000000000e+01,5.957000000000000028e+01,3.000000000000000000e+01
1.000000000000000000e+00,5.000000000000000000e+01,5.957000000000000028e+01,3.000000000000000000e+01
2.000000000000000000e+00,5.000000000000000000e+01,5.957000000000000028e+01,3.000000000000000000e+01
3.000000000000000000e+00,5.000000000000000000e+01,5.957000000000000028e+01,3.000000000000000000e+01
4.000000000000000000e+00,5.000000000000000000e+01,5.957000000000000028e+01,3.000000000000000000e+01
5.000000000000000000e+00,5.000000000000000000e+01,5.957000000000000028e+01,3.000000000000000000e+01
6.000000000000000000e+00,5.000000000000000000e+01,5.957000000000000028e+01,3.000000000000000000e+01
7.000000000000000000e+00,5.000000000000000000e+01,5.957000000000000028e+01,3.000000000000000000e+01
8.000000000000000000e+00,5.000000000000000000e+01,5.957000000000000028e+01,3.000000000000000000e+01
9.000000000000000000e+00,5.000000000000000000e+01,5.957000000000000028e+01,3.000000000000000000e+01
1.000000000000000000e+01,5.000000000000000000e+01,5.957000000000000028e+01,7.000000000000000000e+01
1.100000000000000000e+01,5.000000000000000000e+01,5.963000000000000256e+01,7.000000000000000000e+01
1.200000000000000000e+01,5.000000000000000000e+01,5.967000000000000171e+01,7.000000000000000000e+01
1.300000000000000000e+01,5.000000000000000000e+01,5.972999999999999687e+01,7.000000000000000000e+01
1.400000000000000000e+01,5.000000000000000000e+01,5.989000000000000057e+01,7.000000000000000000e+01
1.500000000000000000e+01,5.000000000000000000e+01,5.989000000000000057e+01,7.000000000000000000e+01
1.600000000000000000e+01,5.000000000000000000e+01,5.989000000000000057e+01,7.000000000000000000e+01
1.700000000000000000e+01,5.000000000000000000e+01,5.989000000000000057e+01,7.000000000000000000e+01
1.800000000000000000e+01,5.000000000000000000e+01,5.989000000000000057e+01,7.000000000000000000e+01
1.900000000000000000e+01,5.000000000000000000e+01,5.989000000000000057e+01,7.000000000000000000e+01
2.000000000000000000e+01,5.000000000000000000e+01,5.992000000000000171e+01,7.000000000000000000e+01
2.100000000000000000e+01,5.000000000000000000e+01,5.992000000000000171e+01,7.000000000000000000e+01
2.200000000000000000e+01,5.000000000000000000e+01,5.996000000000000085e+01,7.000000000000000000e+01
2.300000000000000000e+01,5.000000000000000000e+01,6.014999999999999858e+01,7.000000000000000000e+01
2.400000000000000000e+01,5.000000000000000000e+01,6.021000000000000085e+01,7.000000000000000000e+01
2.500000000000000000e+01,5.000000000000000000e+01,6.021000000000000085e+01,7.000000000000000000e+01
2.600000000000000000e+01,5.000000000000000000e+01,6.021000000000000085e+01,7.000000000000000000e+01
2.700000000000000000e+01,5.000000000000000000e+01,6.021000000000000085e+01,7.000000000000000000e+01
2.800000000000000000e+01,5.000000000000000000e+01,6.021000000000000085e+01,7.000000000000000000e+01
2.900000000000000000e+01,5.000000000000000000e+01,6.021000000000000085e+01,7.000000000000000000e+01
3.000000000000000000e+01,5.000000000000000000e+01,6.046999999999999886e+01,7.000000000000000000e+01
3.100000000000000000e+01,5.000000000000000000e+01,6.053999999999999915e+01,7.000000000000000000e+01
3.200000000000000000e+01,5.000000000000000000e+01,6.053999999999999915e+01,7.000000000000000000e+01
3.300000000000000000e+01,5.000000000000000000e+01,6.053999999999999915e+01,7.000000000000000000e+01
3.400000000000000000e+01,5.000000000000000000e+01,6.053999999999999915e+01,7.000000000000000000e+01
3.500000000000000000e+01,5.000000000000000000e+01,6.063000000000000256e+01,7.000000000000000000e+01
3.600000000000000000e+01,5.000000000000000000e+01,6.085999999999999943e+01,7.000000000000000000e+01
3.700000000000000000e+01,5.000000000000000000e+01,6.085999999999999943e+01,7.000000000000000000e+01
3.800000000000000000e+01,5.000000000000000000e+01,6.085999999999999943e+01,7.000000000000000000e+01
3.900000000000000000e+01,5.000000000000000000e+01,6.085999999999999943e+01,7.000000000000000000e+01
4.000000000000000000e+01,5.000000000000000000e+01,6.085999999999999943e+01,7.000000000000000000e+01
4.100000000000000000e+01,5.000000000000000000e+01,6.099000000000000199e+01,7.000000000000000000e+01
4.200000000000000000e+01,5.000000000000000000e+01,6.117999999999999972e+01,7.000000000000000000e+01
4.300000000000000000e+01,5.000000000000000000e+01,6.117999999999999972e+01,7.000000000000000000e+01
4.400000000000000000e+01,5.000000000000000000e+01,6.117999999999999972e+01,7.000000000000000000e+01
4.500000000000000000e+01,5.000000000000000000e+01,6.121000000000000085e+01,7.000000000000000000e+01
4.600000000000000000e+01,5.000000000000000000e+01,6.143999999999999773e+01,7.000000000000000000e+01
4.700000000000000000e+01,5.000000000000000000e+01,6.150000000000000000e+01,7.000000000000000000e+01
4.800000000000000000e+01,5.000000000000000000e+01,6.150000000000000000e+01,7.000000000000000000e+01
4.900000000000000000e+01,5.000000000000000000e+01,6.150000000000000000e+01,7.000000000000000000e+01
5.000000000000000000e+01,5.000000000000000000e+01,6.160000000000000142e+01,7.000000000000000000e+01
5.100000000000000000e+01,5.000000000000000000e+01,6.170000000000000284e+01,7.000000000000000000e+01
5.200000000000000000e+01,5.000000000000000000e+01,6.182999999999999829e+01,7.000000000000000000e+01
5.300000000000000000e+01,5.000000000000000000e+01,6.182999999999999829e+01,7.000000000000000000e+01
5.400000000000000000e+01,5.000000000000000000e+01,6.182999999999999829e+01,7.000000000000000000e+01
5.500000000000000000e+01,5.000000000000000000e+01,6.196000000000000085e+01,7.000000000000000000e+01
5.600000000000000000e+01,5.000000000000000000e+01,6.211999999999999744e+01,7.000000000000000000e+01
5.700000000000000000e+01,5.000000000000000000e+01,6.214999999999999858e+01,7.000000000000000000e+01
5.800000000000000000e+01,5.000000000000000000e+01,6.214999999999999858e+01,7.000000000000000000e+01
5.900000000000000000e+01,5.000000000000000000e+01,6.225000000000000000e+01,7.000000000000000000e+01
6.000000000000000000e+01,5.000000000000000000e+01,6.246999999999999886e+01,7.000000000000000000e+01
6.100000000000000000e+01,5.000000000000000000e+01,6.246999999999999886e+01,7.000000000000000000e+01
6.200000000000000000e+01,5.000000000000000000e+01,6.260000000000000142e+01,7.000000000000000000e+01
6.300000000000000000e+01,5.000000000000000000e+01,6.278999999999999915e+01,7.000000000000000000e+01
6.400000000000000000e+01,5.000000000000000000e+01,6.278999999999999915e+01,7.000000000000000000e+01
6.500000000000000000e+01,5.000000000000000000e+01,6.278999999999999915e+01,7.000000000000000000e+01
6.600000000000000000e+01,5.000000000000000000e+01,6.304999999999999716e+01,7.000000000000000000e+01
6.700000000000000000e+01,5.000000000000000000e+01,6.311999999999999744e+01,7.000000000000000000e+01
6.800000000000000000e+01,5.000000000000000000e+01,6.311999999999999744e+01,7.000000000000000000e+01
6.900000000000000000e+01,5.000000000000000000e+01,6.311999999999999744e+01,7.000000000000000000e+01
7.000000000000000000e+01,5.000000000000000000e+01,6.331000000000000227e+01,7.000000000000000000e+01
7.100000000000000000e+01,5.000000000000000000e+01,6.343999999999999773e+01,7.000000000000000000e+01
7.200000000000000000e+01,5.000000000000000000e+01,6.343999999999999773e+01,7.000000000000000000e+01
7.300000000000000000e+01,5.000000000000000000e+01,6.353000000000000114e+01,7.000000000000000000e+01
7.400000000000000000e+01,5.000000000000000000e+01,6.375999999999999801e+01,7.000000000000000000e+01
7.500000000000000000e+01,5.000000000000000000e+01,6.375999999999999801e+01,7.000000000000000000e+01
7.600000000000000000e+01,5.000000000000000000e+01,6.389000000000000057e+01,7.000000000000000000e+01
7.700000000000000000e+01,5.000000000000000000e+01,6.407999999999999829e+01,7.000000000000000000e+01
7.800000000000000000e+01,5.000000000000000000e+01,6.407999999999999829e+01,7.000000000000000000e+01
7.900000000000000000e+01,5.000000000000000000e+01,6.418000000000000682e+01,7.000000000000000000e+01
8.000000000000000000e+01,5.000000000000000000e+01,6.440000000000000568e+01,7.000000000000000000e+01
8.100000000000000000e+01,5.000000000000000000e+01,6.440000000000000568e+01,7.000000000000000000e+01
8.200000000000000000e+01,5.000000000000000000e+01,6.440000000000000568e+01,7.000000000000000000e+01
8.300000000000000000e+01,5.000000000000000000e+01,6.459999999999999432e+01,7.000000000000000000e+01
8.400000000000000000e+01,5.000000000000000000e+01,6.473000000000000398e+01,7.000000000000000000e+01
8.500000000000000000e+01,5.000000000000000000e+01,6.473000000000000398e+01,7.000000000000000000e+01
8.600000000000000000e+01,5.000000000000000000e+01,6.481999999999999318e+01,7.000000000000000000e+01
8.700000000000000000e+01,5.000000000000000000e+01,6.504999999999999716e+01,7.000000000000000000e+01
8.800000000000000000e+01,5.000000000000000000e+01,6.504999999999999716e+01,7.000000000000000000e+01
8.900000000000000000e+01,5.000000000000000000e+01,6.507999999999999829e+01,7.000000000000000000e+01
9.000000000000000000e+01,5.000000000000000000e+01,6.534000000000000341e+01,7.000000000000000000e+01
9.100000000000000000e+01,5.000000000000000000e+01,6.537000000000000455e+01,7.000000000000000000e+01
9.200000000000000000e+01,5.000000000000000000e+01,6.550000000000000000e+01,7.000000000000000000e+01
9.300000000000000000e+01,5.000000000000000000e+01,6.559999999999999432e+01,7.000000000000000000e+01
9.400000000000000000e+01,5.000000000000000000e+01,6.568999999999999773e+01,7.000000000000000000e+01
9.500000000000000000e+01,5.000000000000000000e+01,6.568999999999999773e+01,7.000000000000000000e+01
9.600000000000000000e+01,5.000000000000000000e+01,6.568999999999999773e+01,7.000000000000000000e+01
9.700000000000000000e+01,5.000000000000000000e+01,6.592000000000000171e+01,7.000000000000000000e+01
9.800000000000000000e+01,5.000000000000000000e+01,6.601999999999999602e+01,7.000000000000000000e+01
9.900000000000000000e+01,5.000000000000000000e+01,6.601999999999999602e+01,7.000000000000000000e+01
1.000000000000000000e+02,5.000000000000000000e+01,6.607999999999999829e+01,7.000000000000000000e+01
1.010000000000000000e+02,5.000000000000000000e+01,6.631000000000000227e+01,7.000000000000000000e+01
1.020000000000000000e+02,5.000000000000000000e+01,6.634000000000000341e+01,7.000000000000000000e+01
1.030000000000000000e+02,5.000000000000000000e+01,6.637000000000000455e+01,7.000000000000000000e+01
1.040000000000000000e+02,5.000000000000000000e+01,6.665999999999999659e+01,7.000000000000000000e+01
1.050000000000000000e+02,5.000000000000000000e+01,6.665999999999999659e+01,7.000000000000000000e+01
1.060000000000000000e+02,5.000000000000000000e+01,6.665999999999999659e+01,7.000000000000000000e+01
1.070000000000000000e+02,5.000000000000000000e+01,6.684999999999999432e+01,7.000000000000000000e+01
1.080000000000000000e+02,5.000000000000000000e+01,6.698000000000000398e+01,7.000000000000000000e+01
1.090000000000000000e+02,5.000000000000000000e+01,6.698000000000000398e+01,7.000000000000000000e+01
1.100000000000000000e+02,5.000000000000000000e+01,6.698000000000000398e+01,7.000000000000000000e+01
1.110000000000000000e+02,5.000000000000000000e+01,6.723999999999999488e+01,7.000000000000000000e+01
