t,MV,PV,DV
0.000000000000000000e+00,3.000000000000000000e+01,4.803000000000000114e+01,5.000000000000000000e+01
1.000000000000000000e+00,3.000000000000000000e+01,4.796999999999999886e+01,5.000000000000000000e+01
2.000000000000000000e+00,3.000000000000000000e+01,4.818999999999999773e+01,5.000000000000000000e+01
3.000000000000000000e+00,3.000000000000000000e+01,4.815999999999999659e+01,5.000000000000000000e+01
4.000000000000000000e+00,3.000000000000000000e+01,4.822999999999999687e+01,5.000000000000000000e+01
5.000000000000000000e+00,3.000000000000000000e+01,4.828999999999999915e+01,5.000000000000000000e+01
6.000000000000000000e+00,3.000000000000000000e+01,4.828999999999999915e+01,5.000000000000000000e+01
7.000000000000000000e+00,3.000000000000000000e+01,4.828999999999999915e+01,5.000000000000000000e+01
8.000000000000000000e+00,3.000000000000000000e+01,4.832000000000000028e+01,5.000000000000000000e+01
9.000000000000000000e+00,3.000000000000000000e+01,4.828999999999999915e+01,5.000000000000000000e+01
1.000000000000000000e+01,7.000000000000000000e+01,4.842000000000000171e+01,5.000000000000000000e+01
1.100000000000000000e+01,7.000000000000000000e+01,4.839000000000000057e+01,5.000000000000000000e+01
1.200000000000000000e+01,7.000000000000000000e+01,4.839000000000000057e+01,5.000000000000000000e+01
1.300000000000000000e+01,7.000000000000000000e+01,4.854999999999999716e+01,5.000000000000000000e+01
1.400000000000000000e+01,7.000000000000000000e+01,4.852000000000000313e+01,5.000000000000000000e+01
1.500000000000000000e+01,7.000000000000000000e+01,4.860999999999999943e+01,5.000000000000000000e+01
1.600000000000000000e+01,7.000000000000000000e+01,4.864999999999999858e+01,5.000000000000000000e+01
1.700000000000000000e+01,7.000000000000000000e+01,4.884000000000000341e+01,5.000000000000000000e+01
1.800000000000000000e+01,7.000000000000000000e+01,4.893999999999999773e+01,5.000000000000000000e+01
1.900000000000000000e+01,7.000000000000000000e+01,4.893999999999999773e+01,5.000000000000000000e+01
2.000000000000000000e+01,7.000000000000000000e+01,4.906000000000000227e+01,5.000000000000000000e+01
2.100000000000000000e+01,7.000000000000000000e+01,4.922999999999999687e+01,5.000000000000000000e+01
2.200000000000000000e+01,7.000000000000000000e+01,4.925999999999999801e+01,5.000000000000000000e+01
2.300000000000000000e+01,7.000000000000000000e+01,4.939000000000000057e+01,5.000000000000000000e+01
2.400000000000000000e+01,7.000000000000000000e+01,4.954999999999999716e+01,5.000000000000000000e+01
2.500000000000000000e+01,7.000000000000000000e+01,4.957999999999999829e+01,5.000000000000000000e+01
2.600000000000000000e+01,7.000000000000000000e+01,4.977000000000000313e+01,5.000000000000000000e+01
2.700000000000000000e+01,7.000000000000000000e+01,4.989999999999999858e+01,5.000000000000000000e+01
2.800000000000000000e+01,7.000000000000000000e+01,5.010000000000000142e+01,5.000000000000000000e+01
2.900000000000000000e+01,7.000000000000000000e+01,5.021999999999999886e+01,5.000000000000000000e+01
3.000000000000000000e+01,7.000000000000000000e+01,5.032000000000000028e+01,5.000000000000000000e+01
3.100000000000000000e+01,7.000000000000000000e+01,5.054999999999999716e+01,5.000000000000000000e+01
3.200000000000000000e+01,7.000000000000000000e+01,5.057999999999999829e+01,5.000000000000000000e+01
3.300000000000000000e+01,7.000000000000000000e+01,5.079999999999999716e+01,5.000000000000000000e+01
3.400000000000000000e+01,7.000000000000000000e+01,5.086999999999999744e+01,5.000000000000000000e+01
3.500000000000000000e+01,7.000000000000000000e+01,5.103000000000000114e+01,5.000000000000000000e+01
3.600000000000000000e+01,7.000000000000000000e+01,5.118999999999999773e+01,5.000000000000000000e+01
3.700000000000000000e+01,7.000000000000000000e+01,5.142000000000000171e+01,5.000000000000000000e+01
3.800000000000000000e+01,7.000000000000000000e+01,5.150999999999999801e+01,5.000000000000000000e+01
3.900000000000000000e+01,7.000000000000000000e+01,5.171000000000000085e+01,5.000000000000000000e+01
4.000000000000000000e+01,7.000000000000000000e+01,5.184000000000000341e+01,5.000000000000000000e+01
4.100000000000000000e+01,7.000000000000000000e+01,5.186999999999999744e+01,5.000000000000000000e+01
4.200000000000000000e+01,7.000000000000000000e+01,5.215999999999999659e+01,5.000000000000000000e+01
4.300000000000000000e+01,7.000000000000000000e+01,5.221999999999999886e+01,5.000000000000000000e+01
4.400000000000000000e+01,7.000000000000000000e+01,5.247999999999999687e+01,5.000000000000000000e+01
4.500000000000000000e+01,7.000000000000000000e+01,5.250999999999999801e+01,5.000000000000000000e+01
4.600000000000000000e+01,7.000000000000000000e+01,5.274000000000000199e+01,5.000000000000000000e+01
